hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 27.35, 27.35, -1063.50, 20.00, 4.63, 3.33, -2.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.73, 26.73, -509.71, 20.00, 4.63, 12.22, 7.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.29, 26.29, -325.10, 20.00, 4.63, 15.00, 9.85, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.86, 25.86, -359.65, 20.00, 4.63, 14.44, 9.35, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.43, 25.43, -401.23, 20.00, 4.63, 13.89, 8.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.00, 25.00, -445.64, 20.00, 4.63, 13.33, 8.24, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.57, 24.57, -492.39, 20.00, 4.63, 12.78, 7.63, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.14, 24.14, -529.20, 20.00, 4.63, 12.22, 7.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.74, 23.74, -512.46, 20.00, 4.63, 12.22, 7.13, 0.00, 5.66, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.54, 23.54, -255.15, 20.00, 4.63, 13.33, 8.24, 0.00, 47.14, 51.68, -51.34, 83.01, 0, 0
2.00, 5.70, 24.31, 24.31, 1219.06, 20.00, 4.63, 14.44, 9.35, 315.06, 69.19, 42.28, -39.97, 74.87, 0, 0
2.00, 5.70, 25.49, 25.49, 1995.68, 20.00, 4.63, 16.11, 10.97, 389.81, 97.57, 33.97, -27.02, 68.58, 0, 0
2.00, 5.70, 27.25, 27.25, 3047.21, 20.00, 4.63, 17.78, 12.71, 528.96, 129.19, 28.05, -12.58, 64.72, 0, 0
2.00, 5.70, 28.63, 28.63, 2722.38, 20.00, 4.63, 18.33, 13.21, 392.79, 135.47, 26.39, 2.71, 63.74, 0, 0
2.00, 5.70, 29.66, 29.66, 2332.13, 20.00, 4.63, 18.89, 13.83, 306.75, 116.47, 29.75, 17.81, 65.77, 0, 0
2.00, 5.70, 30.44, 30.44, 2039.53, 20.00, 4.63, 18.33, 13.33, 273.12, 86.91, 36.71, 31.77, 70.55, 0, 0
2.00, 5.70, 30.63, 30.63, 1206.79, 20.00, 4.63, 17.78, 12.71, 139.25, 56.02, 45.52, 44.15, 77.56, 0, 0
2.00, 5.70, 30.25, 30.25, 306.82, 20.00, 4.63, 17.22, 12.09, 0.00, 20.74, 55.10, 55.01, 86.22, 0, 0
2.00, 5.70, 29.82, 29.82, 140.63, 20.00, 4.63, 16.11, 10.97, 0.00, 1.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 29.60, 29.60, 383.53, 20.00, 4.63, 16.11, 10.97, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 29.38, 29.38, 339.73, 20.00, 4.63, 15.56, 10.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 29.15, 29.15, 297.19, 20.00, 4.63, 15.00, 9.85, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 28.91, 28.91, 255.14, 20.00, 4.63, 14.44, 9.24, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 28.50, 28.50, -27.70, 20.00, 4.63, 13.89, 8.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 27.95, 27.95, -309.36, 20.00, 4.63, 13.89, 8.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 27.39, 27.39, -385.08, 20.00, 4.63, 13.33, 8.12, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.83, 26.83, -447.69, 20.00, 4.63, 12.78, 7.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.28, 26.28, -503.25, 20.00, 4.63, 12.22, 7.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.72, 25.72, -556.34, 20.00, 4.63, 11.67, 6.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.18, 25.18, -608.16, 20.00, 4.63, 11.11, 5.79, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.63, 24.63, -658.92, 20.00, 4.63, 10.56, 5.29, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.09, 24.09, -699.62, 20.00, 4.63, 10.00, 4.68, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.60, 23.60, -685.34, 20.00, 4.63, 10.00, 4.68, 0.00, 5.66, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.33, 23.33, -378.83, 20.00, 4.63, 11.11, 5.90, 0.00, 58.45, 51.81, -51.47, 83.01, 0, 0
2.00, 5.70, 24.38, 24.38, 1607.17, 20.00, 4.63, 13.33, 8.12, 426.21, 75.87, 42.41, -40.11, 74.86, 0, 0
2.00, 5.70, 25.82, 25.82, 2403.03, 20.00, 4.63, 15.00, 9.74, 488.51, 103.92, 34.09, -27.16, 68.55, 0, 0
2.00, 5.70, 26.68, 26.68, 1739.70, 20.00, 4.63, 15.56, 10.35, 250.31, 128.14, 28.16, -12.71, 64.66, 0, 0
2.00, 5.70, 27.05, 27.05, 1071.87, 20.00, 4.63, 15.56, 10.35, 90.37, 134.23, 26.46, 2.60, 63.65, 0, 0
2.00, 5.70, 27.06, 27.06, 552.27, 20.00, 4.63, 15.00, 9.85, 27.38, 104.79, 29.78, 17.73, 65.67, 0, 0
2.00, 5.70, 27.29, 27.29, 832.24, 20.00, 4.63, 15.00, 9.85, 111.26, 91.91, 36.72, 31.71, 70.43, 0, 0
2.00, 5.70, 27.60, 27.60, 985.83, 20.00, 4.63, 14.44, 9.35, 192.33, 58.93, 45.51, 44.11, 77.43, 0, 0
2.00, 5.70, 27.24, 27.24, -5.15, 20.00, 4.63, 13.89, 8.74, 0.00, 28.28, 55.08, 54.99, 86.09, 0, 0
2.00, 5.70, 26.84, 26.84, -131.48, 20.00, 4.63, 13.33, 8.24, 0.00, 1.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.66, 26.66, 125.77, 20.00, 4.63, 13.33, 8.12, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.47, 26.47, 88.13, 20.00, 4.63, 12.78, 7.63, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.29, 26.29, 86.96, 20.00, 4.63, 12.78, 7.63, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.12, 26.12, 86.83, 20.00, 4.63, 12.78, 7.63, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.78, 25.78, -193.34, 20.00, 4.63, 12.22, 7.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.28, 25.28, -472.89, 20.00, 4.63, 12.22, 7.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.81, 24.81, -509.46, 20.00, 4.63, 12.22, 7.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.33, 24.33, -569.09, 20.00, 4.63, 11.67, 6.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.87, 23.87, -584.59, 20.00, 4.63, 11.67, 6.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.44, 23.44, -595.25, 20.00, 4.63, 11.67, 6.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.03, 23.03, -604.01, 20.00, 4.63, 11.67, 6.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.64, 22.64, -610.38, 20.00, 4.63, 11.67, 6.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.25, 22.25, -644.69, 20.00, 4.63, 11.11, 6.02, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.92, 21.92, -585.91, 20.00, 4.63, 11.67, 6.51, 0.00, 5.66, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.72, 21.72, -430.48, 20.00, 4.63, 12.22, 7.01, 0.00, 32.05, 51.94, -51.61, 83.01, 0, 0
2.00, 5.70, 22.13, 22.13, 507.42, 20.00, 4.63, 13.33, 8.24, 169.66, 68.10, 42.55, -40.24, 74.84, 0, 0
2.00, 5.70, 23.15, 23.15, 1514.79, 20.00, 4.63, 15.00, 9.85, 318.22, 97.70, 34.22, -27.29, 68.50, 0, 0
2.00, 5.70, 24.37, 24.37, 1971.28, 20.00, 4.63, 16.11, 10.97, 338.94, 121.54, 28.27, -12.84, 64.59, 0, 0
2.00, 5.70, 24.97, 24.97, 1212.32, 20.00, 4.63, 16.67, 11.47, 129.81, 120.61, 26.55, 2.49, 63.56, 0, 0
2.00, 5.70, 25.46, 25.46, 1085.33, 20.00, 4.63, 16.67, 11.59, 109.47, 121.11, 29.82, 17.64, 65.56, 0, 0
2.00, 5.70, 25.89, 25.89, 1024.23, 20.00, 4.63, 16.67, 11.59, 113.77, 98.78, 36.73, 31.65, 70.31, 0, 0
2.00, 5.70, 26.28, 26.28, 1012.19, 20.00, 4.63, 16.67, 11.47, 150.34, 67.06, 45.51, 44.08, 77.30, 0, 0
2.00, 5.70, 26.10, 26.10, 169.06, 20.00, 4.63, 16.11, 10.97, 0.00, 33.94, 55.07, 54.97, 85.96, 0, 0
2.00, 5.70, 25.87, 25.87, 25.43, 20.00, 4.63, 15.56, 10.35, 0.00, 1.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.81, 25.81, 246.66, 20.00, 4.63, 15.00, 9.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.73, 25.73, 209.11, 20.00, 4.63, 14.44, 9.24, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.64, 25.64, 169.70, 20.00, 4.63, 13.89, 8.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.53, 25.53, 129.26, 20.00, 4.63, 13.33, 8.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 25.24, 25.24, -152.68, 20.00, 4.63, 12.78, 7.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.80, 24.80, -433.69, 20.00, 4.63, 12.78, 7.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.32, 24.32, -547.74, 20.00, 4.63, 11.67, 6.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.84, 23.84, -612.46, 20.00, 4.63, 11.11, 5.79, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.36, 23.36, -669.82, 20.00, 4.63, 10.56, 5.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.87, 22.87, -723.73, 20.00, 4.63, 10.00, 4.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.39, 22.39, -775.50, 20.00, 4.63, 9.44, 4.07, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.90, 21.90, -827.21, 20.00, 4.63, 8.89, 3.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.40, 21.40, -903.21, 20.00, 4.63, 7.78, 2.36, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.97, 20.97, -840.37, 20.00, 4.63, 8.33, 2.84, 0.00, 7.54, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.75, 20.75, -555.68, 20.00, 4.63, 9.44, 3.94, 0.00, 54.68, 52.08, -51.74, 83.01, 0, 0
2.00, 5.70, 21.27, 21.27, 562.83, 20.00, 4.63, 10.56, 5.17, 231.90, 72.04, 42.68, -40.38, 74.81, 0, 0
2.00, 5.70, 22.30, 22.30, 1443.54, 20.00, 4.63, 11.67, 6.28, 354.18, 98.91, 34.36, -27.43, 68.45, 0, 0
2.00, 5.70, 23.96, 23.96, 2579.36, 20.00, 4.63, 13.33, 7.88, 538.36, 106.68, 28.39, -12.97, 64.52, 0, 0
2.00, 5.70, 25.32, 25.32, 2354.87, 20.00, 4.63, 13.89, 8.50, 411.70, 123.97, 26.63, 2.38, 63.46, 0, 0
2.00, 5.70, 26.63, 26.63, 2426.04, 20.00, 4.63, 14.44, 8.99, 418.53, 113.33, 29.87, 17.56, 65.44, 0, 0
2.00, 5.70, 28.06, 28.06, 2763.37, 20.00, 4.63, 15.00, 9.61, 505.55, 72.79, 36.75, 31.60, 70.18, 0, 0
2.00, 5.70, 28.96, 28.96, 2103.22, 20.00, 4.63, 14.44, 8.99, 395.73, 45.12, 45.51, 44.05, 77.17, 0, 0
2.00, 5.70, 28.57, 28.57, 204.91, 20.00, 4.63, 13.33, 7.88, 0.00, 33.94, 55.07, 54.96, 85.82, 0, 0
2.00, 5.70, 28.09, 28.09, -59.96, 20.00, 4.63, 12.78, 7.39, 0.00, 3.77, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 27.77, 27.77, 89.40, 20.00, 4.63, 12.22, 6.77, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 27.45, 27.45, 18.27, 20.00, 4.63, 11.67, 6.15, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 27.12, 27.12, -37.76, 20.00, 4.63, 11.11, 5.66, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 26.81, 26.81, -48.81, 20.00, 4.63, 11.11, 5.53, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
